87,88,94,83,84,89,83,84,87,88,86,81,82,90,81,96,86,89,83,85,86,84,81,90,81,90,84,81,92,83,81,82,82,83,84,84,81,90,84,84
93,76,81,90,85,85,89,95,93,76,81,92,83,86,84,86,81,95,81,95,81,79,83,94,83,85,91,83,86,81,82,90,87,88,85,94,90,85,85,94
83,89,83,85,85,86,86,81,82,82,83,86,81,82,95,251,252,253,253,253,253,253,253,254,255,86,86,81,82,82,83,86,93,76,94,83,86,86,85,84
81,95,84,86,86,251,252,253,253,253,253,253,253,253,253,256,-1,10,36,29,34,25,14,-1,257,253,253,253,253,253,253,253,253,254,255,81,92,83,86,91
84,81,79,83,86,256,-1,-1,-1,-1,-1,-1,-1,-1,-1,258,259,260,260,260,260,260,260,261,262,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,84,86,87,88,86
91,83,89,83,85,256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,94,90,93,76,84
86,81,95,81,95,256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,84,86,84,81,96
81,82,82,83,84,256,-1,-1,-1,-1,-1,-1,278,276,276,276,276,276,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,85,81,96,84,86
83,89,83,81,96,256,-1,-1,-1,-1,-1,-1,280,21,14,31,14,21,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,85,84,86,94,90
81,95,84,84,86,256,-1,-1,-1,-1,-1,-1,275,276,276,276,276,276,277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,86,94,82,83,86
81,82,95,94,90,256,-1,-1,-1,-1,240,241,247,241,247,241,247,241,247,241,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,84,81,90,81,90
84,81,92,83,86,256,-1,-1,-1,-1,245,0,245,1,245,2,245,3,245,4,245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,91,83,85,84,85
96,84,86,87,88,256,-1,-1,-1,-1,246,241,248,241,248,241,248,241,248,241,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,86,84,86,85,86
86,85,84,93,76,256,-1,-1,-1,-1,245,5,245,6,245,7,245,8,245,9,245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,89,95,81,95,84
84,85,85,81,90,256,-1,-1,-1,-1,243,241,249,241,249,241,249,241,249,241,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,86,87,88,81,96
85,86,94,83,85,256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,84,93,76,84,86
